ïmedianearnings,meanearnings,emprate,laborpart,percentemploymentstatuscivilianl,dpark,dmarket,test,id,id2,geography,govworkers,bachelorsorhigher,mtraveltime,nonag,selfemp,financesectorinvest,oldagedepratio,meanhousingsize,occhealth2,popdensity,v22,v23,v24,estimatesexandagetotalpopulation,estimateemploymentstatuspopulati,v27,sqmiles,estimateinthelaborforceemployedw,v30,estimateinthelaborforcenoninst,v32,occhealth,latitude,longitude
27258,52385,95.9,58.7,4.1,5.08872,34.31069,.49544,"1400000US23013970700",2.301e+10,"Census Tract 9707, Knox County, Maine",15.3,35.7,11.9,99.7,5.5,8,49.6,1.86,.946,401.6189,"1400000US23013970700",2.301e+10,"Census Tract 9707, Knox County, Maine",4386,3870,4.1,10.921,104,,1924,104,.0540541,44.13354,-69.13382
28876,62661,93.2,60.7,6.8,1.16546,37.5865,.4818273,"1400000US23013970800",2.301e+10,"Census Tract 9708, Knox County, Maine",11.7,27.8,18.7,91.1,17.9,3.6,44.7,2.335,.939,147.6006,"1400000US23013970800",2.301e+10,"Census Tract 9708, Knox County, Maine",2999,2559,6.8,20.318,81,,1323,81,.0612245,44.05449,-69.11195
22138,63361,95.3,69,4.7,8.857906,36.45126,.5364724,"1400000US23013970900",2.301e+10,"Census Tract 9709, Knox County, Maine",12.3,38.3,18.1,92.8,15.3,1.4,52.2,2.62,.925,103.5763,"1400000US23013970900",2.301e+10,"Census Tract 9709, Knox County, Maine",2591,2114,4.7,25.015,87,,1162,87,.0748709,43.95868,-69.23305
24202,57036,93.8,61.9,6.2,11.8918,32.87223,.4754295,"1400000US23013971000",2.301e+10,"Census Tract 9710, Knox County, Maine",9.8,24.1,23,97,26,.2,40.8,2.635,.955,75.07887,"1400000US23013971000",2.301e+10,"Census Tract 9710, Knox County, Maine",2503,2055,6.2,33.338,49,,1081,49,.0453284,43.97156,-69.31532
23190,61621,96.6,64.2,3.4,12.6309,50.97856,.5349631,"1400000US23013971100",2.301e+10,"Census Tract 9711, Knox County, Maine",13.6,29.9,8.5,98.5,36.5,2.7,38.3,2.06,.95,34.17388,"1400000US23013971100",2.301e+10,"Census Tract 9711, Knox County, Maine",1759,1516,3.4,51.472,39,,773,39,.0504528,44.06984,-68.79797
26490,55570,98.1,61,1.9,4.301818,13.77871,.4858704,"1400000US23015975100",2.302e+10,"Census Tract 9751, Lincoln County, Maine",16.3,22.2,29.1,97.3,16.6,3,34.2,2.63,.92,43.48526,"1400000US23015975100",2.302e+10,"Census Tract 9751, Lincoln County, Maine",5308,4313,1.9,122.064,191,,2402,191,.0795171,44.21188,-69.53816
25145,57365,98,61.8,2,6.277448,23.58769,.4952286,"1400000US23015975200",2.302e+10,"Census Tract 9752, Lincoln County, Maine",10.3,25.3,24.2,97.4,9.4,5.5,31.3,2.215,.936,70.3518,"1400000US23015975200",2.302e+10,"Census Tract 9752, Lincoln County, Maine",5030,4109,2,71.498,148,,2297,148,.0644319,44.12208,-69.38335
29167,57661,93.5,58.3,6.5,8.018934,21.76176,.4647141,"1400000US23015975300",2.302e+10,"Census Tract 9753, Lincoln County, Maine",12.8,36.3,21.7,99,9.4,5.1,49.5,2.03,.971,114.3638,"1400000US23015975300",2.302e+10,"Census Tract 9753, Lincoln County, Maine",3585,3056,6.5,31.347,46,,1586,46,.0290038,44.08256,-69.47707
30730,64304,94.6,65.1,5.4,13.71298,21.38117,.5151771,"1400000US23015975400",2.302e+10,"Census Tract 9754, Lincoln County, Maine",12.2,43.9,25.1,98.5,13.7,4.3,39.4,2.085,.96,52.3038,"1400000US23015975400",2.302e+10,"Census Tract 9754, Lincoln County, Maine",3558,2978,5.4,68.026,68,,1721,68,.0395119,44.02913,-69.60011
26183,69178,97.4,63.9,2.6,16.46892,20.47463,.5290515,"1400000US23015975500",2.302e+10,"Census Tract 9755, Lincoln County, Maine",13.3,26.6,26.5,96.8,10.1,4.4,31.9,2.195,.948,99.66582,"1400000US23015975500",2.302e+10,"Census Tract 9755, Lincoln County, Maine",6368,5418,2.6,63.894,163,,3146,163,.0518118,44.01746,-69.71722
26304,54534,94.4,53.3,5.6,17.52171,29.90509,.4332418,"1400000US23015975600",2.302e+10,"Census Tract 9756, Lincoln County, Maine",8.8,36.3,21.6,98.8,15.2,6.3,53.4,2.475,.913,68.84406,"1400000US23015975600",2.302e+10,"Census Tract 9756, Lincoln County, Maine",3640,3173,5.6,52.873,127,,1456,127,.0872253,43.94376,-69.45979
30027,69308,97.6,60.1,2.4,12.40702,29.71713,.5266331,"1400000US23015975700",2.302e+10,"Census Tract 9757, Lincoln County, Maine",8.8,49.5,22.2,96.5,25,3.4,77.3,1.89,.939,75.92856,"1400000US23015975700",2.302e+10,"Census Tract 9757, Lincoln County, Maine",995,894,2.4,13.104,25,,410,25,.0609756,43.91065,-69.55875
26133,60815,95.6,59,4.4,8.618421,31.09083,.4890746,"1400000US23015975800",2.302e+10,"Census Tract 9758, Lincoln County, Maine",18.2,38.1,19.9,100,15.8,3.2,55.3,2.2,.954,141.8915,"1400000US23015975800",2.302e+10,"Census Tract 9758, Lincoln County, Maine",3112,2698,4.4,21.932,63,,1360,63,.0463235,43.87551,-69.61839
28629,54514,97.4,47.3,2.6,5.637467,32.69592,.4192293,"1400000US23015976200",2.302e+10,"Census Tract 9762, Lincoln County, Maine",11,37.6,15.2,97.1,16.6,6.5,85.7,1.755,.917,231.9181,"1400000US23015976200",2.302e+10,"Census Tract 9762, Lincoln County, Maine",2569,2364,2.6,11.077,76,,913,76,.0832421,43.83714,-69.64858
21094,52262,93.9,51.5,6.1,12.97653,61.8723,.4353562,"1400000US23017965100",2.302e+10,"Census Tract 9651, Oxford County, Maine",13.3,22.6,27.1,96.7,13.9,1.4,55.9,2.49,.939,1.482055,"1400000US23017965100",2.302e+10,"Census Tract 9651, Oxford County, Maine",1137,1023,6.1,767.178,28,,462,28,.0606061,44.83358,-70.93423
22263,52343,92.3,52.7,7.7,12.61461,43.53229,.4146746,"1400000US23017965400",2.302e+10,"Census Tract 9654, Oxford County, Maine",14.2,10.8,24.6,98.8,7.4,2.5,42.4,2.585,.948,25.51177,"1400000US23017965400",2.302e+10,"Census Tract 9654, Oxford County, Maine",3012,2567,7.7,118.063,67,,1277,67,.0524667,44.65421,-70.63494
27254,50255,89.5,52.2,10.5,15.27792,34.29069,.3957772,"1400000US23017965500",2.302e+10,"Census Tract 9655, Oxford County, Maine",7.8,13.8,26.8,93.7,10.2,1.8,23.6,2.485,.954,66.82425,"1400000US23017965500",2.302e+10,"Census Tract 9655, Oxford County, Maine",2226,1885,10.5,33.311,43,,928,43,.0463362,44.50795,-70.61004
15368,42655,86.6,45.4,13.4,13.88813,37.69263,.3562305,"1400000US23017965600",2.302e+10,"Census Tract 9656, Oxford County, Maine",13.6,16.6,15.1,99,8.5,3.4,32.4,2.385,.943,99.98956,"1400000US23017965600",2.302e+10,"Census Tract 9656, Oxford County, Maine",3523,3189,13.4,35.234,78,,1378,78,.0566038,44.55996,-70.62531
27750,53420,91,55.7,9,12.95153,30.57386,.4106541,"1400000US23017965700",2.302e+10,"Census Tract 9657, Oxford County, Maine",11.3,13.5,28.3,99.4,3.6,4.1,27.4,2.73,.964,42.13673,"1400000US23017965700",2.302e+10,"Census Tract 9657, Oxford County, Maine",2966,2402,9,70.39,46,,1282,46,.0358814,44.53308,-70.34592
